card_id	german	tatoeba_attribution
x20000	ich	CC-BY 2.0 (France) Attribution: tatoeba.org #1110539 (Scott) & #1164021 (Sudajaengi)
x20001	sie	CC-BY 2.0 (France) Attribution: tatoeba.org #7998622 (raggione) & #1791489 (Pfirsichbaeumchen)
x20002	der	CC-BY 2.0 (France) Attribution: tatoeba.org #523175 (CK) & #8788687 (Pfirsichbaeumchen)
x20003	du	CC-BY 2.0 (France) Attribution: tatoeba.org #2218387 (CK) & #10081924 (wolfgangth)
x20004	es	CC-BY 2.0 (France) Attribution: tatoeba.org #2528426 (CK) & #8641076 (Melang)
x20005	wir	CC-BY 2.0 (France) Attribution: tatoeba.org #3519549 (CK) & #5689480 (dasbeispielholz)
x20006	er	CC-BY 2.0 (France) Attribution: tatoeba.org #290850 (CK) & #446621 (al_ex_an_der)
x20007	in	CC-BY 2.0 (France) Attribution: tatoeba.org #295557 (CK) & #5823556 (dasbeispielholz)
x20008	mit	CC-BY 2.0 (France) Attribution: tatoeba.org #2548895 (CK) & #6626130 (Felixjp)
x20009	werden	CC-BY 2.0 (France) Attribution: tatoeba.org #2548030 (CK) & #10117742 (wolfgangth)
x20010	auf	CC-BY 2.0 (France) Attribution: tatoeba.org #33978 (CS) & #1885330 (Tamy)
x20011	mich	CC-BY 2.0 (France) Attribution: tatoeba.org #2649241 (CK) & #2657199 (Pfirsichbaeumchen)
x20012	so	CC-BY 2.0 (France) Attribution: tatoeba.org #3591675 (CK) & #5656470 (Vortarulo)
x20013	an	CC-BY 2.0 (France) Attribution: tatoeba.org #50921 (CM) & #651847 (Pfirsichbaeumchen)
x20014	von	CC-BY 2.0 (France) Attribution: tatoeba.org #7198261 (CK) & #6626103 (Felixjp)
x20015	für	CC-BY 2.0 (France) Attribution: tatoeba.org #1790780 (Spamster) & #1790805 (Pfirsichbaeumchen)
x20016	wissen	CC-BY 2.0 (France) Attribution: tatoeba.org #1828658 (Amastan) & #7722999 (raggione)
x20017	ihr	CC-BY 2.0 (France) Attribution: tatoeba.org #7051127 (Hybrid) & #7273879 (Pfirsichbaeumchen)
x20018	sehen	CC-BY 2.0 (France) Attribution: tatoeba.org #2648981 (CK) & #6641204 (Felixjp)
x20019	mein	CC-BY 2.0 (France) Attribution: tatoeba.org #1898105 (CK) & #1903401 (Pfirsichbaeumchen)
x20020	nur	CC-BY 2.0 (France) Attribution: tatoeba.org #3519549 (CK) & #5689480 (dasbeispielholz)
x20021	da	CC-BY 2.0 (France) Attribution: tatoeba.org #2149075 (irrationale) & #7413229 (Yorwba)
x20022	dir	CC-BY 2.0 (France) Attribution: tatoeba.org #2245080 (CK) & #1816294 (pne)
x20023	tun	CC-BY 2.0 (France) Attribution: tatoeba.org #308719 (CK) & #8860761 (wolfgangth)
x20024	sich	CC-BY 2.0 (France) Attribution: tatoeba.org #887067 (CK) & #1557404 (Espi)
x20025	uns	CC-BY 2.0 (France) Attribution: tatoeba.org #2892983 (CK) & #7709072 (driini)
x20026	einer	CC-BY 2.0 (France) Attribution: tatoeba.org #3168214 (CK) & #6626114 (Felixjp)
x20027	geben	CC-BY 2.0 (France) Attribution: tatoeba.org #2548323 (CK) & #719726 (Manfredo)
x20028	ihn	CC-BY 2.0 (France) Attribution: tatoeba.org #2647629 (CK) & #2194852 (Vortarulo)
x20029	aus	CC-BY 2.0 (France) Attribution: tatoeba.org #1358589 (CK) & #3177608 (a_coder)
x20030	um	CC-BY 2.0 (France) Attribution: tatoeba.org #1935232 (Spamster) & #1935339 (Pfirsichbaeumchen)
x20031	alle	CC-BY 2.0 (France) Attribution: tatoeba.org #300380 (CK) & #7931471 (raggione)
x20032	bei	CC-BY 2.0 (France) Attribution: tatoeba.org #3822692 (CK) & #6625978 (Felixjp)
x20033	nach	CC-BY 2.0 (France) Attribution: tatoeba.org #4356536 (CK) & #10284445 (Yorwba)
x20034	sollen	CC-BY 2.0 (France) Attribution: tatoeba.org #3354951 (CK) & #4302199 (raggione)
x20035	man	CC-BY 2.0 (France) Attribution: tatoeba.org #12575894 (CK) & #12576886 (Waldelfe)
x20036	also	CC-BY 2.0 (France) Attribution: tatoeba.org #10515866 (sundown) & #1360339 (al_ex_an_der)
x20037	dein	CC-BY 2.0 (France) Attribution: tatoeba.org #10024760 (CK) & #13030078 (Naina)
x20038	hören	CC-BY 2.0 (France) Attribution: tatoeba.org #320075 (CK) & #1341172 (Zaghawa)
x20039	los	CC-BY 2.0 (France) Attribution: tatoeba.org #8982056 (sundown) & #1985532 (Alois)
x20040	sehr	CC-BY 2.0 (France) Attribution: tatoeba.org #4665761 (CK) & #9981122 (wolfgangth)
x20041	unser	CC-BY 2.0 (France) Attribution: tatoeba.org #5473715 (CK) & #5473949 (Pfirsichbaeumchen)
x20042	leben	CC-BY 2.0 (France) Attribution: tatoeba.org #306386 (lilygilder) & #347439 (lilygilder)
x20043	mögen	CC-BY 2.0 (France) Attribution: tatoeba.org #5068206 (CK) & #5068695 (raggione)
x20044	euch	CC-BY 2.0 (France) Attribution: tatoeba.org #3728978 (CM) & #6628542 (raggione)
x20045	über	CC-BY 2.0 (France) Attribution: tatoeba.org #3636218 (CK) & #3934966 (Trinkschokolade)
x20046	anderer	CC-BY 2.0 (France) Attribution: tatoeba.org #5441789 (CK) & #5442981 (brauchinet)
x20047	nehmen	CC-BY 2.0 (France) Attribution: tatoeba.org #3345288 (CK) & #7709074 (driini)
x20048	Zeit	CC-BY 2.0 (France) Attribution: tatoeba.org #41699 (CK) & #1314641 (Pfirsichbaeumchen)
x20049	stehen	CC-BY 2.0 (France) Attribution: tatoeba.org #5214670 (CK) & #5214700 (Pfirsichbaeumchen)
x20050	kennen	CC-BY 2.0 (France) Attribution: tatoeba.org #297417 (CK) & #353546 (MUIRIEL)
x20051	keiner	CC-BY 2.0 (France) Attribution: tatoeba.org #7980097 (CK) & #7980173 (Pfirsichbaeumchen)
x20052	na	CC-BY 2.0 (France) Attribution: tatoeba.org #410596 (CK) & #765175 (User4473)
x20053	zurück	CC-BY 2.0 (France) Attribution: tatoeba.org #3722735 (CM) & #11235939 (Pfirsichbaeumchen)
x20054	halten	CC-BY 2.0 (France) Attribution: tatoeba.org #307764 (CK) & #367885 (lilygilder)
x20055	Vater	CC-BY 2.0 (France) Attribution: tatoeba.org #668099 (bluepie88) & #1681429 (Esperantostern)
x20056	klar	CC-BY 2.0 (France) Attribution: tatoeba.org #7990081 (CK) & #1437803 (Espi)
x20057	gehören	CC-BY 2.0 (France) Attribution: tatoeba.org #3529327 (CK) & #4926529 (Pfirsichbaeumchen)
x20058	gerade	CC-BY 2.0 (France) Attribution: tatoeba.org #40144 (CK) & #3182253 (Manfredo)
x20059	durch	CC-BY 2.0 (France) Attribution: tatoeba.org #12185216 (Miktsoanit) & #12183870 (mhr)
x20060	Mutter	CC-BY 2.0 (France) Attribution: tatoeba.org #2645569 (CK) & #10082052 (wolfgangth)
x20061	raus	CC-BY 2.0 (France) Attribution: tatoeba.org #3312204 (CK) & #4995586 (zoona)
x20062	töten	CC-BY 2.0 (France) Attribution: tatoeba.org #1111435 (Scott) & #2270938 (Vortarulo)
x20063	ohne	CC-BY 2.0 (France) Attribution: tatoeba.org #2314844 (CK) & #8661857 (Melang)
x20064	beide	CC-BY 2.0 (France) Attribution: tatoeba.org #2930608 (astyng) & #3344663 (Pfirsichbaeumchen)
x20065	lange	CC-BY 2.0 (France) Attribution: tatoeba.org #914030 (Jane_Austen) & #1521284 (Pfirsichbaeumchen)
x20066	spielen	CC-BY 2.0 (France) Attribution: tatoeba.org #1624893 (marcelostockle) & #6644769 (Felixjp)
x20067	weiter	CC-BY 2.0 (France) Attribution: tatoeba.org #3518545 (CK) & #6928060 (raggione)
x20068	laufen	CC-BY 2.0 (France) Attribution: tatoeba.org #2111521 (CK) & #4941750 (Hans_Adler)
x20069	Ordnung	CC-BY 2.0 (France) Attribution: tatoeba.org #2111845 (CK) & #923969 (Espi)
x20070	davon	CC-BY 2.0 (France) Attribution: tatoeba.org #9355792 (CK) & #10014007 (wolfgangth)
x20071	Mädchen	CC-BY 2.0 (France) Attribution: tatoeba.org #885221 (MarijnKp) & #907776 (Esperantostern)
x20072	hin	CC-BY 2.0 (France) Attribution: tatoeba.org #5947830 (Hybrid) & #5969822 (raggione)
x20073	Welt	CC-BY 2.0 (France) Attribution: tatoeba.org #3314971 (CK) & #3842926 (Zaghawa)
x20074	Herr	CC-BY 2.0 (France) Attribution: tatoeba.org #914039 (Jane_Austen) & #1458268 (Espi)
x20075	Mensch	CC-BY 2.0 (France) Attribution: tatoeba.org #2248201 (CK) & #4944421 (Manfredo)
x20076	unter	CC-BY 2.0 (France) Attribution: tatoeba.org #39623 (CK) & #989736 (Esperantostern)
x20077	liegen	CC-BY 2.0 (France) Attribution: tatoeba.org #2835691 (CK) & #3874518 (Giulio)
x20078	lieben	CC-BY 2.0 (France) Attribution: tatoeba.org #11157231 (sundown) & #4639116 (Tamy)
x20079	Moment	CC-BY 2.0 (France) Attribution: tatoeba.org #2679027 (Hybrid) & #2682504 (Pfirsichbaeumchen)
x20080	stellen	CC-BY 2.0 (France) Attribution: tatoeba.org #3390738 (CK) & #3391071 (brauchinet)
x20081	gegen	CC-BY 2.0 (France) Attribution: tatoeba.org #42111 (CK) & #2097623 (Tamy)
x20082	Sohn	CC-BY 2.0 (France) Attribution: tatoeba.org #1943921 (Spamster) & #7795801 (bonny37)
x20083	setzen	CC-BY 2.0 (France) Attribution: tatoeba.org #415594 (CM) & #415596 (Pfirsichbaeumchen)
x20084	Bruder	CC-BY 2.0 (France) Attribution: tatoeba.org #2547695 (CK) & #6644697 (Felixjp)
x20085	sofort	CC-BY 2.0 (France) Attribution: tatoeba.org #2138298 (Hybrid) & #2179726 (Pfirsichbaeumchen)
x20086	entschuldigen	CC-BY 2.0 (France) Attribution: tatoeba.org #3826569 (CK) & #3928536 (Tamy)
x20087	nächster	CC-BY 2.0 (France) Attribution: tatoeba.org #3168160 (CK) & #12579612 (Waldelfe)
