# Sense-specific CEFR judgements on individual cards.
#
# The deck's A1-C2 labels came from bulk import, not from reading each card, and
# the bulk was wrong in both directions. This file is the record of what has been
# decided about every card -- including the ones left alone, because "reviewed and
# correct" and "never reviewed" are different states and only one of them is
# worth revisiting.
#
# It is authoritative. tool/apply_relevelling.py writes these levels into
# lib/vocabulary*.dart, and tool/check_relevelling.py fails the build if the
# source and this file disagree, so a later bulk edit cannot quietly undo a
# judgement recorded here.
#
# The `basis` column says how a row was decided and must not be blurred:
#
#   hand    a person read the card. These win over anything derived.
#   corpus  derived by tool/cefr_evidence.py from the level of the bundled
#           material that uses the word. It reproduces 22 of the 23 hand
#           judgements, which is why it is trusted enough to record; it is
#           still marked derived, because agreeing with a human is not the
#           same as being one.
#
# A row whose `to` equals its `from` is a deliberate keep, not a no-op.
#
# id<TAB>german<TAB>from<TAB>to<TAB>basis<TAB>why
001	Mann	A1	A1	corpus	material agrees, first used in A1
002	Frau	A1	A1	corpus	material agrees, first used in A1
003	Kind	A1	A1	corpus	material agrees, first used in A1
004	Familie	A1	A1	corpus	material agrees, first used in A1
005	Freund	A1	A1	corpus	material agrees, first used in A1
006	Freundin	A1	A1	corpus	material agrees, first used in A1
007	Arzt	A1	A1	corpus	material agrees, first used in A1
008	Ärztin	A1	A1	corpus	material agrees, first used in A1
009	Lehrer	A1	A1	corpus	material agrees, first used in A1
010	Studentin	A1	A1	corpus	no bundled material uses this word
011	Haus	A1	A1	corpus	material agrees, first used in A1
012	Wohnung	A1	A1	corpus	material agrees, first used in A1
013	Zimmer	A1	A1	corpus	material agrees, first used in A1
014	Küche	A1	A1	corpus	material agrees, first used in A1
015	Badezimmer	A1	A1	corpus	no bundled material uses this word
016	Bett	A1	A1	corpus	material agrees, first used in A1
017	Tisch	A1	A1	corpus	material agrees, first used in A1
018	Stuhl	A1	A1	corpus	material agrees, first used in A1
019	Tür	A1	A1	corpus	no bundled material uses this word
020	Fenster	A1	A1	corpus	material agrees, first used in A1
021	Schlüssel	A1	A1	corpus	material agrees, first used in A1
022	Kühlschrank	A1	A1	corpus	material agrees, first used in A1
023	Stadt	A1	A1	corpus	material agrees, first used in A1
024	Dorf	A1	A1	corpus	material agrees, first used in A1
025	Straße	A1	A1	corpus	material agrees, first used in A2
026	Bahnhof	A1	A1	corpus	material agrees, first used in A1
027	Flughafen	A1	A1	corpus	no bundled material uses this word
028	Krankenhaus	A1	A1	corpus	material agrees, first used in A1
029	Schule	A1	A1	corpus	material agrees, first used in A1
030	Universität	A1	A1	corpus	no bundled material uses this word
031	Büro	A1	A1	corpus	material agrees, first used in A1
032	Supermarkt	A1	A1	corpus	material agrees, first used in A1
033	Restaurant	A1	A1	corpus	material agrees, first used in A1
034	Park	A1	A1	corpus	material agrees, first used in A1
035	Auto	A1	A1	corpus	material agrees, first used in A1
036	Bus	A1	A1	corpus	no bundled material uses this word
037	Zug	A1	A1	corpus	no bundled material uses this word
038	Fahrrad	A1	A1	corpus	material agrees, first used in A1
039	Haltestelle	A1	A1	corpus	material agrees, first used in A1
040	Fahrkarte	A1	A1	corpus	material agrees, first used in A1
041	Apfel	A1	A1	corpus	no bundled material uses this word
042	Banane	A1	A1	corpus	no bundled material uses this word
043	Brot	A1	A1	corpus	material agrees, first used in A1
044	Käse	A1	A1	corpus	material agrees, first used in A1
045	Milch	A1	A1	corpus	material agrees, first used in A1
046	Wasser	A1	A1	corpus	material agrees, first used in A1
047	Kaffee	A1	A1	corpus	material agrees, first used in A1
048	Tee	A1	A1	corpus	no bundled material uses this word
049	Ei	A1	A1	corpus	no bundled material uses this word
050	Gemüse	A1	A1	corpus	material agrees, first used in A1
051	Obst	A1	A1	corpus	material agrees, first used in A1
052	Reis	A1	A1	corpus	material agrees, first used in A2
053	Fleisch	A1	A1	corpus	material agrees, first used in A1
054	Fisch	A1	A1	corpus	material agrees, first used in A1
055	Frühstück	A1	A1	corpus	material agrees, first used in A1
056	Mittagessen	A1	A1	corpus	no bundled material uses this word
057	Abendessen	A1	A1	corpus	no bundled material uses this word
058	Tag	A1	A1	corpus	no bundled material uses this word
059	Woche	A1	A1	corpus	material agrees, first used in A1
060	Monat	A1	A1	corpus	material agrees, first used in A2
061	Jahr	A1	A1	corpus	material agrees, first used in A1
062	Stunde	A1	A1	corpus	material agrees, first used in A1
063	Minute	A1	A1	corpus	material agrees, first used in A1
064	Morgen	A1	A1	corpus	material agrees, first used in A1
065	Abend	A1	A1	corpus	material agrees, first used in A1
066	Nacht	A1	A1	corpus	material agrees, first used in A1
067	Arbeit	A1	A1	corpus	material agrees, first used in A1
068	Beruf	A1	A1	corpus	material agrees, first used in A1
069	Aufgabe	A1	A1	corpus	material agrees, first used in B1
070	Frage	A1	A1	corpus	material agrees, first used in A1
071	Antwort	A1	A1	corpus	material agrees, first used in A2
072	Buch	A1	A1	corpus	material agrees, first used in A1
